Gene_ID,Genes,AMP_log2FC,TET_log2FC,KAN_log2FC,CHL_log2FC,CPR_log2FC,DOX_log2FC,ERY_log2FC,FOX_log2FC,TRM_log2FC,NAL_log2FC,NIT_log2FC,TOB_log2FC,AMP_pvalue,TET_pvalue,KAN_pvalue,CHL_pvalue,CPR_pvalue,DOX_pvalue,ERY_pvalue,FOX_pvalue,TRM_pvalue,NAL_pvalue,NIT_pvalue,TOB_pvalue,AMP_qvalue,TET_qvalue,KAN_qvalue,CHL_qvalue,CPR_qvalue,DOX_qvalue,ERY_qvalue,FOX_qvalue,TRM_qvalue,NAL_qvalue,NIT_qvalue,TOB_qvalue
b4371,rsmC,-0.891901883,-2.880177954,0.109,-0.431,0.992,-0.4,0.388,-0.297,0.58,-0.425,0.694,0.028,0.054829641,0.028543491,0.733460722,0.186096762,0.004623472,0.218569803,0.232248153,0.357389334,0.07960732,0.192067186,0.038552311,0.930210961,0.338816208,0.243808651,0.827060745,0.426356015,0.018676392,0.57677084,0.399892067,0.599554784,0.400646678,0.453574048,0.149042363,0.963977112
b3430,glgC,0.007032229,-0.988245244,0.261,0.198,-1.548,0.587,0.662,-0.1,-0.35,0.253,0.67,-0.361,0.486731383,0.100035858,0.41764924,0.537393957,6.05E-05,0.07627388,0.047533401,0.754681664,0.279823636,0.431864569,0.045127314,0.265374263,0.831408375,0.448923557,0.585471765,0.729094834,0.000640427,0.387927736,0.121606285,0.867742587,0.565880005,0.692682064,0.15924236,0.509186867
b0099,mutT,-1.13609301,0.618879216,0.619,0.887,0.355,-0.758,-1.088,-0.718,0.066,-0.261,-0.442,0.294,0.02784492,0.179617638,0.062537111,0.010055227,0.273186447,0.025047156,0.002228118,0.032857148,0.836511717,0.41764924,0.175531932,0.362177266,0.120946279,0.525508329,0.161335235,0.062999074,0.367843154,0.197166071,0.010288156,0.162695878,0.904257385,0.684887486,0.379495093,0.606963567
b2794,queF,-0.501436681,-0.208839091,-0.234,-0.706,-0.109,-0.083,-0.412,-0.857,0.53,-0.425,0.281,0.487,0.291234204,0.535324852,0.466803102,0.035601334,0.733460722,0.795296483,0.205517155,0.01249002,0.107279575,0.192067186,0.383417467,0.137199558,0.587297412,0.805883182,0.628546282,0.14972068,0.792860711,0.928349887,0.366824225,0.098318876,0.416515059,0.453574048,0.635596321,0.360002259
b0902,pflA,-0.820330382,-0.297997447,0.152,-0.588,-0.12,-0.189,0.568,-0.227,0.638,-1.039,1.417,0.137,0.22276054,0.350325739,0.635294353,0.075807715,0.707817518,0.555899338,0.085615728,0.480086148,0.055455319,0.003240515,0.000169749,0.668882125,0.715879678,0.69429878,0.777033332,0.235080491,0.77330953,0.845966739,0.187743061,0.688721717,0.317287409,0.024449548,0.001930108,0.823159967
b0061,araD,-0.726234818,-3.866970681,0.187,0.18,-0.908,0.702,0.639,-1.05,-0.732,0.453,1.154,-0.726,0.08518179,0.095678618,0.560056282,0.574730974,0.008626532,0.036561384,0.055103124,0.002980164,0.029900332,0.165449713,0.001338176,0.031136386,0.334896593,0.465189001,0.72242554,0.74329692,0.029426058,0.233840518,0.135333273,0.036596418,0.248091944,0.429146439,0.010811057,0.138534356
b1261,trpB,-3.445999779,-0.600126427,-3.421,2.029,1.977,-2.343,1.932,-0.13,0.392,-2.12,1.789,-1.56,7.98E-07,0.27690914,1.70E-10,1.51E-06,2.23E-06,1.56E-07,3.12E-06,0.684807298,0.227618392,7.72E-07,9.28E-06,5.51E-05,3.88E-05,0.646991102,1.90E-08,5.15E-05,4.56E-05,1.20E-05,5.33E-05,0.834269208,0.517621084,1.58E-05,0.000258922,0.000582836
b3167,rbfA,-0.509859536,1.42919401,0.758,0.439,0.391,-0.359,-1.109,-0.509,0.486,-0.315,-0.825,0.286,0.301917181,0.274090889,0.025047156,0.178364866,0.228769209,0.267959902,0.001895595,0.121126348,0.13797004,0.329558181,0.015694612,0.375153551,0.577862235,0.688458555,0.09154139,0.422473143,0.32972839,0.618523985,0.009092932,0.370288642,0.454862432,0.602228343,0.072425533,0.612617768
b3057,bacA,3.045153374,1.210353454,-0.084,-0.016,0.389,0.498,-0.656,-0.446,0.373,-0.304,0.031,0.232,0.037887349,0.016955547,0.792889648,0.960083944,0.231084082,0.128955682,0.049412746,0.171810488,0.250244729,0.346383489,0.922757311,0.470575933,0.412657791,0.116906551,0.863181283,0.977540386,0.329966573,0.465457011,0.125369529,0.421966558,0.548750941,0.613130395,0.983212804,0.701295201
b1530,marR,4.463,4.750467297,0.07,5.138,6.297,-0.148,0.556,1.715,1.323,3.926,0.236,1.295,8.16E-07,0.00191804,0.82676606,4.24E-14,5.32E-16,0.644177034,0.092010798,1.64E-05,0.000356215,1.12E-11,0.463048223,0.000444059,1.12E-05,0.028905827,0.875231656,1.30E-11,1.63E-13,0.89485226,0.19347476,0.000720307,0.009113164,1.72E-09,0.731386932,0.003684493
b0342,lacA,2.895559242,-0.554172913,-0.397,-0.296,-0.016,0.562,-1.348,2.161,0.233,-0.654,-0.897,0.155,0.035474672,0.580354801,0.221930227,0.35898057,0.960083944,0.088763806,0.000292518,5.73E-07,0.468687277,0.050053803,0.009348927,0.628668783,0.36203629,0.840340475,0.380439679,0.591962567,0.963221473,0.419238284,0.001870899,2.93E-05,0.737882021,0.182934733,0.05415322,0.797526101
b2094,gatA,-1.625171964,-7.617962676,0.261,1.289,0.724,1.4,1.581,0.154,-1.169,2.535,1.732,-2.493,0.001692094,6.71E-06,0.41764924,0.000465519,0.031558678,0.00019411,4.67E-05,0.630873802,0.00119092,4.14E-08,1.44E-05,5.51E-08,0.019663194,0.000121604,0.585471765,0.006805448,0.078133179,0.004583972,0.000437816,0.790523499,0.022850785,1.41E-06,0.000345325,1.54E-06
b3744,as0,-1.42742536,-1.496284862,0.619,-3.883,-0.887,-1.733,-4.415,-0.859,3.704,-0.093,0.228,2.13,0.00383732,0.02270348,0.062537111,1.39E-11,0.010055227,1.43E-05,1.02E-12,0.012311747,3.58E-11,0.771325478,0.478175207,7.18E-07,0.039597356,0.27895965,0.161335235,2.14E-09,0.033922578,0.000548279,1.04E-10,0.098318876,1.10E-08,0.932046716,0.731386932,1.30E-05
b4350,hsdR,-1.012602067,-1.091260021,1.156,0.394,-0.219,0.417,1.391,-0.496,-0.707,-0.145,-0.38,-1.067,0.040772085,0.088443657,0.001317554,0.225329964,0.495532514,0.200260046,0.000208391,0.130423325,0.03536493,0.650874885,0.241720829,0.002617318,0.180089436,0.436727967,0.012546123,0.458121185,0.582867747,0.57677084,0.001421693,0.382026037,0.270051933,0.87257026,0.469672751,0.01826174
